8-QAM,,32-QAM,,128-QAM,,OFDM,,LTE
0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-0.110431526074847 - 1.21474678682331i,,-0.110431526074847 - 1.21474678682331i,,0.00122310394798299 + 0.00446015885970019i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,0.110431526074847 + 0.993883734673619i,,0.110431526074847 + 0.993883734673619i,,0.00387934242209853 + 0.0345167881445347i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,-0.552157630374233 - 0.110431526074847i,,-0.552157630374233 - 0.110431526074847i,,0.00419529637237105 + 0.0212399478556998i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,-0.331294578224540 - 0.993883734673619i,,-0.331294578224540 - 0.993883734673619i,,0.0138119860607134 - 0.0200470637959365i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,0.773020682523926 + 1.21474678682331i,,0.773020682523926 + 1.21474678682331i,,0.0437369237678682 - 0.00763337526860761i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,0.331294578224540 + 0.552157630374233i,,0.331294578224540 + 0.552157630374233i,,0.0317980624692880 + 0.0256414160887615i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,0.993883734673619 + 0.773020682523926i,,0.993883734673619 + 0.773020682523926i,,-0.0107570842466568 + 0.0106901336200218i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.110431526074847 + 0.993883734673619i,,-0.110431526074847 + 0.993883734673619i,,-0.0161263897243742 - 0.0141190218227991i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,-0.331294578224540 - 1.21474678682331i,,-0.331294578224540 - 1.21474678682331i,,-0.00381797274085753 + 0.00178064547275850i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.773020682523926 + 0.552157630374233i,,-0.773020682523926 + 0.552157630374233i,,-0.0102993407901824 + 0.0377485457212101i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,0.773020682523926 + 0.993883734673619i,,0.773020682523926 + 0.993883734673619i,,0.00430970428159554 + 0.0567025389480246i
1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,1.21474678682331 - 0.110431526074847i,,1.21474678682331 - 0.110431526074847i,,0.0461981725274491 + 0.0310472363958941i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,-0.773020682523926 - 0.331294578224540i,,-0.773020682523926 - 0.331294578224540i,,0.0348831652536769 - 0.00734866542252056i
1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-0.773020682523926 - 0.552157630374233i,,-0.773020682523926 - 0.552157630374233i,,-0.0207418534449202 + 0.0100289926535857i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,-0.773020682523926 - 0.110431526074847i,,-0.773020682523926 - 0.110431526074847i,,-0.0203402722475731 + 0.0383296005586317i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,0.552157630374233 + 0.110431526074847i,,0.552157630374233 + 0.110431526074847i,,0.00249752964633652 + 0.0124001366201373i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,0.773020682523926 + 0.773020682523926i,,0.773020682523926 + 0.773020682523926i,,-0.0200204602578309 - 0.00588239794036973i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,-0.110431526074847 - 0.773020682523926i,,-0.110431526074847 - 0.773020682523926i,,-0.0123338363234355 + 0.00425920057618703i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.331294578224540 + 0.110431526074847i,,0.331294578224540 + 0.110431526074847i,,0.0312266265571140 - 0.00720582040360259i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.993883734673619 + 0.331294578224540i,,-0.993883734673619 + 0.331294578224540i,,0.0167345182622925 - 0.00864913464985110i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,0.773020682523926 - 1.21474678682331i,,0.773020682523926 - 1.21474678682331i,,-0.0113725216561493 + 0.0179840245334230i
-0.408248290463863 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,0.110431526074847 - 0.993883734673619i,,0.110431526074847 - 0.993883734673619i,,0.00398659144116007 + 0.0269456470696178i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,-0.110431526074847 - 0.110431526074847i,,-0.110431526074847 - 0.110431526074847i,,-0.00215448478068574 + 0.0129100028514547i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,-0.110431526074847 - 0.993883734673619i,,-0.110431526074847 - 0.993883734673619i,,-0.0242483526379458 - 0.0164929846543073i
-0.408248290463863 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,-0.993883734673619 + 0.552157630374233i,,-0.993883734673619 + 0.552157630374233i,,-0.00820115432780909 - 0.0398235867273552i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,0.773020682523926 - 0.552157630374233i,,0.773020682523926 - 0.552157630374233i,,-0.00417808368448324 - 0.0193699818425842i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.110431526074847 + 0.552157630374233i,,0.110431526074847 + 0.552157630374233i,,-0.0344104081355017 + 0.0147453390016181i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-0.773020682523926 + 1.21474678682331i,,-0.773020682523926 + 1.21474678682331i,,-0.0318826399023683 + 0.0349470985673324i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,-0.331294578224540 - 1.21474678682331i,,-0.331294578224540 - 1.21474678682331i,,-0.00298186384584641 + 0.0467438963908991i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,-0.773020682523926 + 0.110431526074847i,,-0.773020682523926 + 0.110431526074847i,,-0.00574829392871528 + 0.0129582900456181i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,-0.552157630374233 - 1.21474678682331i,,-0.552157630374233 - 1.21474678682331i,,-0.0163353592144281 - 0.0342913287618342i
1.22474487139159 - 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,-0.331294578224540 - 0.993883734673619i,,-0.331294578224540 - 0.993883734673619i,,-0.00505036413599005 - 0.0121926575920299i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-1.21474678682331 + 0.110431526074847i,,-1.21474678682331 + 0.110431526074847i,,-0.00424721456424849 + 0.0260980383368191i
1.22474487139159 + 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,0.331294578224540 + 0.331294578224540i,,0.331294578224540 + 0.331294578224540i,,-0.0116553754541509 + 0.0171487012938972i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,0.773020682523926 - 0.110431526074847i,,0.773020682523926 - 0.110431526074847i,,-0.00855056675027855 + 0.00334562083193274i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,1.21474678682331 + 0.552157630374233i,,1.21474678682331 + 0.552157630374233i,,-0.0283800084375737 - 0.00181594891399697i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,-0.110431526074847 + 1.21474678682331i,,-0.110431526074847 + 1.21474678682331i,,-0.0575076637755677 + 0.00297774606160620i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,-0.110431526074847 + 0.773020682523926i,,-0.110431526074847 + 0.773020682523926i,,-0.0346915886166778 + 0.0318478424338481i
-0.408248290463863 - 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,-0.993883734673619 - 0.331294578224540i,,-0.993883734673619 - 0.331294578224540i,,0.00885880114328240 + 0.0327291215326312i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,-0.552157630374233 - 0.110431526074847i,,-0.552157630374233 - 0.110431526074847i,,0.00949120082654045 - 0.00152125929966387i
0.408248290463863 - 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-1.21474678682331 + 0.331294578224540i,,-1.21474678682331 + 0.331294578224540i,,-0.00142781191410281 - 0.0105728176774587i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,0.331294578224540 - 1.21474678682331i,,0.331294578224540 - 1.21474678682331i,,0.0183214684133715 - 0.0194061953035659i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.552157630374233 - 0.110431526074847i,,0.552157630374233 - 0.110431526074847i,,0.0275791695758095 - 0.0364760511582272i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,-0.773020682523926 - 0.110431526074847i,,-0.773020682523926 - 0.110431526074847i,,-0.00160402561917465 + 0.00269364495392084i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,-0.110431526074847 - 0.331294578224540i,,-0.110431526074847 - 0.331294578224540i,,-0.0108239277588228 + 0.0344447476301511i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.110431526074847 - 0.993883734673619i,,-0.110431526074847 - 0.993883734673619i,,0.0190291068654008 - 0.0133153809524798i
1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,-0.331294578224540 + 0.331294578224540i,,-0.331294578224540 + 0.331294578224540i,,0.0228805168467203 - 0.0323763485457041i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,-0.773020682523926 - 0.993883734673619i,,-0.773020682523926 - 0.993883734673619i,,-0.000689515897174528 + 0.00123599920692185i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,0.993883734673619 - 0.552157630374233i,,0.993883734673619 - 0.552157630374233i,,-0.000860193415621451 - 0.00704304919832987i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-0.110431526074847 + 0.331294578224540i,,-0.110431526074847 + 0.331294578224540i,,0.0139803549927002 - 0.00154775900892992i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,-0.552157630374233 - 0.331294578224540i,,-0.552157630374233 - 0.331294578224540i,,0.0157072168244292 + 0.0363923771611050i
1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,-0.110431526074847 - 1.21474678682331i,,-0.110431526074847 - 1.21474678682331i,,-0.0183345854213560 + 0.00434268682327215i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.773020682523926 - 0.331294578224540i,,0.773020682523926 - 0.331294578224540i,,-0.0593077419673492 - 0.0165150618548577i
1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,0.331294578224540 - 0.110431526074847i,,0.331294578224540 - 0.110431526074847i,,-0.0194845856291873 + 0.0285653882562883i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,1.21474678682331 - 0.552157630374233i,,1.21474678682331 - 0.552157630374233i,,0.0338359631442587 - 0.00585590920287242i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,0.993883734673619 - 0.331294578224540i,,0.993883734673619 - 0.331294578224540i,,-0.0125097611020453 - 0.0508181581836596i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,-0.110431526074847 + 0.110431526074847i,,-0.110431526074847 + 0.110431526074847i,,-0.0314559229853039 + 0.0167223537977646i
0.408248290463863 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,0.331294578224540 + 0.552157630374233i,,0.331294578224540 + 0.552157630374233i,,0.0254787758748108 + 0.0241754426076900i
0.408248290463863 - 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,-0.773020682523926 - 1.21474678682331i,,-0.773020682523926 - 1.21474678682331i,,0.00682477807917539 - 0.0414469693660603i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.993883734673619 - 0.331294578224540i,,-0.993883734673619 - 0.331294578224540i,,-0.0229634139358281 + 0.00276554071586539i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,-0.552157630374233 - 0.993883734673619i,,-0.552157630374233 - 0.993883734673619i,,0.0252926987428211 + 0.0530242062835631i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,0.552157630374233 + 0.773020682523926i,,0.552157630374233 + 0.773020682523926i,,0.0189422690370749 + 0.000192710107119531i
-0.408248290463863 - 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,-0.552157630374233 + 1.21474678682331i,,-0.552157630374233 + 1.21474678682331i,,-0.0164770693236077 - 0.0236508053349051i
-0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,-0.552157630374233 + 0.331294578224540i,,-0.552157630374233 + 0.331294578224540i,,0.00552427172801990 + 0.00000000000000i
0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,0.110431526074847 - 0.110431526074847i,,0.110431526074847 - 0.110431526074847i,,-0.0174287182976254 + 0.00383993412278696i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,0.773020682523926 + 0.993883734673619i,,0.773020682523926 + 0.993883734673619i,,-0.0356016318804201 + 0.0118464238425779i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,-0.552157630374233 - 0.552157630374233i,,-0.552157630374233 - 0.552157630374233i,,0.0352146655724135 + 0.0142815578490017i
-1.22474487139159 - 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,-0.331294578224540 - 0.110431526074847i,,-0.331294578224540 - 0.110431526074847i,,0.0235594025822512 + 0.00161601305717930i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,-0.773020682523926 + 0.552157630374233i,,-0.773020682523926 + 0.552157630374233i,,-0.0621864157105492 + 0.00686334258915532i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,-0.993883734673619 - 0.110431526074847i,,-0.993883734673619 - 0.110431526074847i,,-0.0337906079059855 + 0.0171019219347073i
1.22474487139159 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,0.110431526074847 + 0.773020682523926i,,0.110431526074847 + 0.773020682523926i,,0.00542557590742979 + 0.0234809233636563i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.993883734673619 - 0.110431526074847i,,0.993883734673619 - 0.110431526074847i,,-0.0324797098057142 + 0.0248630832050707i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,-0.110431526074847 - 0.552157630374233i,,-0.110431526074847 - 0.552157630374233i,,-0.000942777176362538 + 0.000456430797719070i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,0.993883734673619 + 0.552157630374233i,,0.993883734673619 + 0.552157630374233i,,0.0375808538425271 - 0.0180569827077364i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,0.331294578224540 + 0.552157630374233i,,0.331294578224540 + 0.552157630374233i,,-0.0412502539419407 - 0.0112882491779099i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,0.110431526074847 + 0.331294578224540i,,0.110431526074847 + 0.331294578224540i,,-0.0636095861992256 - 0.0180989935911668i
1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,-0.993883734673619 - 0.331294578224540i,,-0.993883734673619 - 0.331294578224540i,,0.0184611472622583 - 0.0229194534128240i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.773020682523926 + 0.773020682523926i,,0.773020682523926 + 0.773020682523926i,,0.0121064407371074 - 0.00549370225947679i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,-0.331294578224540 + 0.993883734673619i,,-0.331294578224540 + 0.993883734673619i,,-0.0350800211380718 - 0.0212020389142657i
-0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,0.552157630374233 + 0.552157630374233i,,0.552157630374233 + 0.552157630374233i,,0.000399740934214836 - 0.0556838394842291i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.110431526074847 - 0.331294578224540i,,-0.110431526074847 - 0.331294578224540i,,0.0220251626567489 - 0.0203472604682731i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,-0.331294578224540 + 0.552157630374233i,,-0.331294578224540 + 0.552157630374233i,,0.0196145013099558 + 0.0330178790023138i
1.22474487139159 + 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,0.331294578224540 - 1.21474678682331i,,0.331294578224540 - 1.21474678682331i,,0.0455253476587340 + 0.00484216324704453i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,0.773020682523926 - 0.773020682523926i,,0.773020682523926 - 0.773020682523926i,,0.0213623722028124 - 0.0224035856886019i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,0.993883734673619 - 0.110431526074847i,,0.993883734673619 - 0.110431526074847i,,-0.0103348282487345 + 0.00553645130818240i
0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.331294578224540 + 0.331294578224540i,,0.331294578224540 + 0.331294578224540i,,0.0146762037979589 - 0.00863980022921753i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.110431526074847 + 1.21474678682331i,,0.110431526074847 + 1.21474678682331i,,-0.0109373552530710 - 0.0245572805462263i
-0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,1.21474678682331 - 0.331294578224540i,,1.21474678682331 - 0.331294578224540i,,-0.0473787479174713 + 0.0215646538859760i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-0.773020682523926 + 0.993883734673619i,,-0.773020682523926 + 0.993883734673619i,,0.000963713975711916 + 0.00355198795924055i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,0.110431526074847 - 0.331294578224540i,,0.110431526074847 - 0.331294578224540i,,0.0254490703809463 - 0.0617458860995410i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,-0.773020682523926 + 0.993883734673619i,,-0.773020682523926 + 0.993883734673619i,,0.00445618026810205 - 0.0413708153035672i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.110431526074847 + 0.110431526074847i,,0.110431526074847 + 0.110431526074847i,,0.000611170871387573 - 0.00630881271673421i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,-0.993883734673619 - 0.552157630374233i,,-0.993883734673619 - 0.552157630374233i,,-0.0176964174024708 + 0.00164731818511957i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,0.331294578224540 + 0.331294578224540i,,0.331294578224540 + 0.331294578224540i,,-0.0182102620316807 + 0.0233414062434882i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.773020682523926 + 0.331294578224540i,,-0.773020682523926 + 0.331294578224540i,,-0.00662550596970206 + 0.00405994923085719i
-0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,-0.110431526074847 - 1.21474678682331i,,-0.110431526074847 - 1.21474678682331i,,-0.0278176575920299 - 0.00828640759202985i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.773020682523926 + 0.773020682523926i,,-0.773020682523926 + 0.773020682523926i,,0.0133810396644636 + 0.0269008544774824i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.552157630374233 - 0.993883734673619i,,0.552157630374233 - 0.993883734673619i,,0.0636463898485196 + 0.00148545857848885i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,0.331294578224540 - 0.110431526074847i,,0.331294578224540 - 0.110431526074847i,,0.00949397301438498 - 0.0115399027472104i
-0.408248290463863 + 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-0.773020682523926 + 0.552157630374233i,,-0.773020682523926 + 0.552157630374233i,,-0.00174152319112154 + 0.0613083603268594i
0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.110431526074847 + 1.21474678682331i,,-0.110431526074847 + 1.21474678682331i,,0.0293281541831301 + 0.0600463690169009i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.773020682523926 - 0.552157630374233i,,0.773020682523926 - 0.552157630374233i,,-0.0218079959698060 - 0.000978828154905678i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-0.993883734673619 + 0.552157630374233i,,-0.993883734673619 + 0.552157630374233i,,-0.0203725427192671 + 0.00278313433423703i
0.408248290463863 + 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,0.110431526074847 - 0.331294578224540i,,0.110431526074847 - 0.331294578224540i,,0.0326964001196732 + 0.0213785181853050i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-0.110431526074847 - 0.773020682523926i,,-0.110431526074847 - 0.773020682523926i,,0.00946256036731260 + 0.0360725188655190i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,0.552157630374233 - 0.993883734673619i,,0.552157630374233 - 0.993883734673619i,,0.0141362378907621 + 0.0333303592481638i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,-0.110431526074847 - 0.331294578224540i,,-0.110431526074847 - 0.331294578224540i,,0.0314838688031790 - 0.0156649614759704i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.552157630374233 - 0.331294578224540i,,-0.552157630374233 - 0.331294578224540i,,-0.0114646856520028 - 0.00488908658838219i
1.22474487139159 + 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,0.331294578224540 - 0.773020682523926i,,0.331294578224540 - 0.773020682523926i,,0.0106795107423092 + 0.0484482503909897i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,1.21474678682331 + 0.552157630374233i,,1.21474678682331 + 0.552157630374233i,,0.0238262280042196 + 0.0226965663816194i
0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,0.773020682523926 + 0.110431526074847i,,0.773020682523926 + 0.110431526074847i,,-0.0615767561002155 - 0.0248284189063559i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,0.110431526074847 + 0.110431526074847i,,0.110431526074847 + 0.110431526074847i,,-0.0605787733037804 - 0.0441686425916664i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,0.331294578224540 - 1.21474678682331i,,0.331294578224540 - 1.21474678682331i,,0.00241914724241209 - 0.0318389966235192i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,-1.21474678682331 + 0.331294578224540i,,-1.21474678682331 + 0.331294578224540i,,-0.00234722206236236 + 0.0256167046608874i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,-0.552157630374233 + 0.773020682523926i,,-0.552157630374233 + 0.773020682523926i,,0.0154239257037812 + 0.0191237394458977i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-0.552157630374233 - 0.110431526074847i,,-0.552157630374233 - 0.110431526074847i,,0.0294250998666742 - 0.0278827192496215i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,0.552157630374233 - 0.331294578224540i,,0.552157630374233 - 0.331294578224540i,,-0.0221947809395981 + 0.00665363688618969i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,-0.110431526074847 + 0.552157630374233i,,-0.110431526074847 + 0.552157630374233i,,-0.0339567358697313 - 0.00723703327572912i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,0.331294578224540 + 1.21474678682331i,,0.331294578224540 + 1.21474678682331i,,-0.0159188919484489 - 0.0810235206183227i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.552157630374233 - 0.110431526074847i,,-0.552157630374233 - 0.110431526074847i,,-0.0216876592514745 - 0.0421860923180810i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.993883734673619 + 0.331294578224540i,,0.993883734673619 + 0.331294578224540i,,-0.0103582872395322 + 0.00299923449025721i
-0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,0.331294578224540 - 0.331294578224540i,,0.331294578224540 - 0.331294578224540i,,-0.00786566559085127 - 0.0197007033471938i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,0.552157630374233 + 0.331294578224540i,,0.552157630374233 + 0.331294578224540i,,-0.0313311198087977 + 0.0138376675855868i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,-0.110431526074847 - 0.110431526074847i,,-0.110431526074847 - 0.110431526074847i,,-0.0455225159759654 + 0.0391401053806606i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,-0.331294578224540 + 0.773020682523926i,,-0.331294578224540 + 0.773020682523926i,,-0.0372989256230960 + 0.00325486787926007i
0.408248290463863 - 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,0.552157630374233 - 0.110431526074847i,,0.552157630374233 - 0.110431526074847i,,0.00969908990182196 - 0.00633154386222510i
1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,0.552157630374233 + 0.110431526074847i,,0.552157630374233 + 0.110431526074847i,,0.0340465944995687 - 0.0175620048993810i
-0.408248290463863 - 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,1.21474678682331 - 0.552157630374233i,,1.21474678682331 - 0.552157630374233i,,-0.00552427172801990 - 0.0386699020961393i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,0.110431526074847 + 0.552157630374233i,,0.110431526074847 + 0.552157630374233i,,-0.0101879164841041 - 0.0239552495209989i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.773020682523926 - 0.552157630374233i,,0.773020682523926 - 0.552157630374233i,,0.0118643214283786 - 0.00287164522384066i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.552157630374233 - 0.552157630374233i,,0.552157630374233 - 0.552157630374233i,,-0.00905435358473418 + 0.0234974389097664i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.110431526074847 - 0.773020682523926i,,0.110431526074847 - 0.773020682523926i,,-0.00714205309553723 + 0.0288315054656950i
1.22474487139159 + 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.331294578224540 - 0.552157630374233i,,-0.331294578224540 - 0.552157630374233i,,0.0137244377509306 - 0.00924540441414667i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,0.331294578224540 - 0.331294578224540i,,0.331294578224540 - 0.331294578224540i,,-0.00231022719034764 - 0.00526619410462971i
